,Instrument,Name,RIC_XMUN,Ticker_XMUN,RIC_main,Ticker_main,Exchange_main,Cap,Sector
0,US0378331005,Apple Inc,AAPL.GTX,APC,AAPL.OQ,AAPL,NASDAQ/NGS (GLOBAL SELECT MARKET),2454.64666048,Technology
1,US5949181045,Microsoft Corp,MSFT.GTX,MSF,MSFT.OQ,MSFT,NASDAQ/NGS (GLOBAL SELECT MARKET),1797.20278331456,Technology
2,US02079K3059,Alphabet Inc,ABEA.GTX,ABEA,GOOGL.OQ,GOOGL,NASDAQ/NGS (GLOBAL SELECT MARKET),1308.87625,Technology
3,US02079K1079,Alphabet Inc,ABECG.GTX,ABEC,GOOG.OQ,GOOG,NASDAQ/NGS (GLOBAL SELECT MARKET),1308.87625,Technology
4,US0231351067,Amazon.com Inc,AMZN.GTX,AMZ,AMZN.OQ,AMZN,NASDAQ/NGS (GLOBAL SELECT MARKET),1195.10205569958,Consumer Cyclicals
5,US88160R1014,Tesla Inc,TSLA.GTX,TL0,TSLA.OQ,TSLA,NASDAQ/NGS (GLOBAL SELECT MARKET),904.28812028655,Consumer Cyclicals
6,US0846701086,Berkshire Hathaway Inc,BRKa.GTX,BRH,BRKa.N,BRK.A,"NEW YORK STOCK EXCHANGE, INC.",592.55963910794,Consumer Non-Cyclicals
7,US0846707026,Berkshire Hathaway Inc,BRKb.GTX,BRYN,BRKb.N,BRK.B,"NEW YORK STOCK EXCHANGE, INC.",592.55963910794,Consumer Non-Cyclicals
8,US91324P1021,UnitedHealth Group Inc,UNH.GTX,UNH,UNH.N,UNH,"NEW YORK STOCK EXCHANGE, INC.",484.0231371166,Healthcare
9,US4781601046,Johnson & Johnson,JNJ.GTX,JNJ,JNJ.N,JNJ,"NEW YORK STOCK EXCHANGE, INC.",436.9171149511,Healthcare
10,US92826C8394,Visa Inc,Va.GTX,3V64,V.N,V,"NEW YORK STOCK EXCHANGE, INC.",384.36806448513,Technology
11,US30303M1027,Meta Platforms Inc,FB2A.GTX,FB2A,META.OQ,META,NASDAQ/NGS (GLOBAL SELECT MARKET),383.83567277104,Technology
12,US30231G1022,Exxon Mobil Corp,XON.GTX,XONA,XOM.N,XOM,"NEW YORK STOCK EXCHANGE, INC.",377.46281923815,Energy
13,US9311421039,Walmart Inc,WMT.GTX,WMT,WMT.N,WMT,"NEW YORK STOCK EXCHANGE, INC.",362.05219841643,Consumer Non-Cyclicals
14,US46625H1005,JPMorgan Chase & Co,JPM.GTX,CMC,JPM.N,JPM,"NEW YORK STOCK EXCHANGE, INC.",326.62938232386,Financials
15,US67066G1040,NVIDIA Corp,NVDA.GTX,NVD,NVDA.OQ,NVDA,NASDAQ/NGS (GLOBAL SELECT MARKET),312.7689,Technology
16,US7427181091,Procter & Gamble Co,PG.GTX,PRG,PG.N,PG,"NEW YORK STOCK EXCHANGE, INC.",324.92888253628,Consumer Non-Cyclicals
17,US1667641005,Chevron Corp,CVX.GTX,CHV,CVX.N,CVX,"NEW YORK STOCK EXCHANGE, INC.",303.18707834046,Energy
18,US57636Q1040,Mastercard Inc,MA.GTX,M4I,MA.N,MA,"NEW YORK STOCK EXCHANGE, INC.",288.32796543864,Technology
19,US5324571083,Eli Lilly and Co,LLY.GTX,LLY,LLY.N,LLY,"NEW YORK STOCK EXCHANGE, INC.",295.38084536079,Healthcare
20,US4370761029,Home Depot Inc,HD.GTX,HDI,HD.N,HD,"NEW YORK STOCK EXCHANGE, INC.",275.52573486902,Consumer Cyclicals
21,US0605051046,Bank of America Corp,BAC.GTX,NCB,BAC.N,BAC,"NEW YORK STOCK EXCHANGE, INC.",261.1452683125,Financials
22,US1912161007,Coca-Cola Co,KO.GTX,CCC3,KO.N,KO,"NEW YORK STOCK EXCHANGE, INC.",256.27752485124,Consumer Non-Cyclicals
23,US00287Y1091,Abbvie Inc,4AB.GTX,4AB,ABBV.N,ABBV,"NEW YORK STOCK EXCHANGE, INC.",252.85547974995,Healthcare
24,US7170811035,Pfizer Inc,PFE.GTX,PFE,PFE.N,PFE,"NEW YORK STOCK EXCHANGE, INC.",250.14252012713,Healthcare
25,US7134481081,PepsiCo Inc,PEP.GTX,PEP,PEP.OQ,PEP,NASDAQ/NGS (GLOBAL SELECT MARKET),232.6823046984,Consumer Non-Cyclicals
26,US22160K1051,Costco Wholesale Corp,COST.GTX,CTO,COST.OQ,COST,NASDAQ/NGS (GLOBAL SELECT MARKET),215.79825986433,Consumer Cyclicals
27,US58933Y1055,Merck & Co Inc,MRK.GTX,6MK,MRK.N,MRK,"NEW YORK STOCK EXCHANGE, INC.",221.68731923595,Healthcare
28,US8835561023,Thermo Fisher Scientific Inc,TMO.GTX,TN8,TMO.N,TMO,"NEW YORK STOCK EXCHANGE, INC.",203.84387903898,Healthcare
29,US2358511028,Danaher Corp,DHR.GTX,DAP,DHR.N,DHR,"NEW YORK STOCK EXCHANGE, INC.",193.81326593265,Healthcare
30,US11135F1012,Broadcom Inc,1YD.GTX,1YD,AVGO.OQ,AVGO,NASDAQ/NGS (GLOBAL SELECT MARKET),193.43274540016,Technology
31,US2546871060,Walt Disney Co,DIS.GTX,WDP,DIS.N,DIS,"NEW YORK STOCK EXCHANGE, INC.",186.24358249832,Consumer Cyclicals
